accident_reference,year,casualty_severity,sex_of_casualty,age_band_of_casualty,casualty_home_area_type,casualty_imd_decile,number_of_vehicles,number_of_casualties,road_type,speed_limit,junction_detail,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,trunk_road_flag,vehicle_manoeuvre,vehicle_location_restricted_lane,hit_object_in_carriageway,hit_object_off_carriageway,first_point_of_impact,journey_purpose_of_driver,date,time,day_of_week,local_authority_district,local_authority_ons_district,urban_or_rural_area,latitude,longitude,lsoa_of_accident_location
06A167327,2020,Slight,Female,26 - 35,Urban area,More deprived 10-20%,2,1,Single carriageway,30,Crossroads,Daylight,Fine no high winds,Dry,None,Non-trunk,18,0,0,0,2,1,2020-01-19,12:00:00,Sunday,Manchester,E08000003,Urban,53.476458,-2.2314,E01033654
06A170518,2020,Slight,Male,26 - 35,Data missing or out of range,Data missing or out of range,2,1,Single carriageway,30,Crossroads,Darkness - lights lit,Fine no high winds,Dry,None,Non-trunk,18,0,0,0,1,1,2020-03-06,19:16:00,Friday,Manchester,E08000003,Urban,53.476659,-2.234158,E01033654
06A171184,2020,Slight,Male,26 - 35,Urban area,More deprived 20-30%,2,1,Single carriageway,30,Crossroads,Daylight,Fine no high winds,Dry,None,Non-trunk,18,0,0,0,3,1,2020-05-06,17:00:00,Wednesday,Manchester,E08000003,Urban,53.487838000000004,-2.240022,E01033658
06A171671,2020,Slight,Male,26 - 35,Urban area,More deprived 30-40%,2,1,Single carriageway,30,T or staggered junction,Daylight,Fine no high winds,Dry,None,Non-trunk,18,0,0,0,4,6,2020-05-29,20:20:00,Friday,Manchester,E08000003,Urban,53.478061,-2.239018,E01033653
06A172407,2020,Slight,Male,11 - 15,Urban area,Most deprived 10%,2,1,Single carriageway,30,Crossroads,Daylight,Fine no high winds,Dry,None,Non-trunk,18,9,0,0,3,6,2020-06-20,18:27:00,Saturday,Manchester,E08000003,Urban,53.494059,-2.21588,E01005129
06A172724,2020,Slight,Male,46 - 55,Urban area,Most deprived 10%,2,1,Single carriageway,20,Not at junction or within 20 metres,Daylight,Fine no high winds,Dry,None,Non-trunk,18,7,4,0,4,6,2020-06-26,10:20:00,Friday,Manchester,E08000003,Urban,53.484458,-2.24056,E01033658
06A172735,2020,Slight,Male,36 - 45,Urban area,More deprived 20-30%,2,1,Single carriageway,30,T or staggered junction,Daylight,Fine no high winds,Dry,None,Non-trunk,18,4,0,0,1,6,2020-07-08,13:54:00,Wednesday,Manchester,E08000003,Urban,53.473009,-2.248285,E01033656
06A173236,2020,Slight,Female,26 - 35,Urban area,Most deprived 10%,2,1,One way street,20,Crossroads,Daylight,Fine no high winds,Dry,None,Non-trunk,18,0,0,0,3,2,2020-07-25,13:20:00,Saturday,Manchester,E08000003,Urban,53.483782,-2.232178,E01033659
06A173670,2020,Fatal,Male,6 - 10,Urban area,More deprived 20-30%,2,1,Single carriageway,30,Crossroads,Daylight,Fine no high winds,Dry,None,Non-trunk,18,0,0,0,1,6,2020-08-09,17:55:00,Sunday,Manchester,E08000003,Urban,53.469156,-2.242373,E01005212
06A174539,2020,Slight,Female,21 - 25,Urban area,More deprived 10-20%,2,1,Single carriageway,30,Crossroads,Daylight,Fine no high winds,Dry,Road surface defective,Non-trunk,18,0,0,0,1,2,2020-09-04,08:17:00,Friday,Manchester,E08000003,Urban,53.478922,-2.253247,E01033681
