accident_reference,year,slightsevere,sex_of_casualty,age_band_of_casualty,under21,over65,casualty_home_area_type,casualty_imd_decile,casualty_depdecile,number_of_vehicles,number_of_casualties,road_type,speed_limit,at_junction,light_conditions,weather_effect,road_wetness,special_conditions,trunk_road_flag,bike_movement,restricted_lane,hit_object_in_carriageway,hit_object_off_carriageway,hit_object,first_point_of_impact,date,time,day_of_week,local_authority_district,local_authority_ons_district,urban_or_rural_area,latitude,longitude,lsoa_of_accident_location,Mean_age,Median_age,total_car_hh,no_car_hh,X1_car_hh,X2_car_hh,X3_car_hh,X16_74_all,X16_74_2km,X16_74_2_5km,X16_74_5_10km,X16_74_10_20km,X16_74_20_30km,X16_74_30_40km,X16_74_40_60km,X16_74_60km,X16_74_home_based,X16_74_other,density._persons,usual_residents_persons,land_area,hh_size_mean,hh_size_1,hh_size_2,hh_size_3,hh_size_4,hh_size_5,hh_size_6,hh_size_7,trans_mode_home,trans_mode_tram,trans_mode_rail,trans_mode_bus,trans_mode_taxi,trans_mode_scooter,trans_mode_car,trans_mode_psgr_car,trans_mode_bike,trans_mode_walk,trans_mode_other,cycling_lane_km,cycling_lane_km_norm,tram_rail_count,bus_count,bike_theft_reports,road_length,severance_km
06A167327,2020,Slight,Female,26 - 35,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,2,2020-01-19,12:00:00,Sunday,Manchester,E08000003,Urban,53.476458,-2.2314,E01033654,23.86747199,24,563,379,152,32,0,718,136,40,59,47,18,3,11,25,342,37,64.42446043,1791,27.8,263,263,33,3,0,1,0,0,342,21,28,40,5,0,104,17,22,138,3,2.26222364,8.06e-6,0,26,84,6137.358757,2.721121445
06A171184,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-05-06,17:00:00,Wednesday,Manchester,E08000003,Urban,53.487838000000004,-2.240022,E01033658,30.9487666,30,712,531,163,17,1,831,162,64,58,41,10,5,12,10,427,42,22.81132384,1394,61.11,363,307,34,4,2,0,0,1,427,37,33,56,0,1,68,5,17,180,6,2.915548222,4.78e-6,4,100,687,11257.07516,5.344013367
06A171671,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 30-40%,4,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-05-29,20:20:00,Friday,Manchester,E08000003,Urban,53.478061,-2.239018,E01033653,29.28743041,26,1146,865,253,21,7,1139,205,68,77,60,17,10,5,10,598,89,59.26993276,1851,31.23,597,466,67,16,1,0,0,0,598,43,43,58,3,0,112,16,36,219,11,1.692927985,5.52e-6,1,107,453,7402.768836,3.240507463
06A172407,2020,Slight,Male,11 - 15,1,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-06-20,18:27:00,Saturday,Manchester,E08000003,Urban,53.494059,-2.21588,E01005129,35.12369231,34,832,388,357,79,8,824,118,173,93,75,13,3,5,15,224,105,42.79739777,1842,43.04,337,250,102,79,38,16,10,4,224,11,20,125,14,0,250,21,28,124,7,0.698466922,1.63e-6,0,14,11,5728.572713,2.059406818
06A172724,2020,Slight,Male,46 - 55,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,20,1,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-06-26,10:20:00,Friday,Manchester,E08000003,Urban,53.484458,-2.24056,E01033658,30.9487666,30,712,531,163,17,1,831,162,64,58,41,10,5,12,10,427,42,22.81132384,1394,61.11,363,307,34,4,2,0,0,1,427,37,33,56,0,1,68,5,17,180,6,2.915548222,4.78e-6,4,100,687,11257.07516,5.344013367
06A172735,2020,Slight,Male,36 - 45,0,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-07-08,13:54:00,Wednesday,Manchester,E08000003,Urban,53.473009,-2.248285,E01033656,23.57295455,23,485,298,166,21,0,892,190,55,75,52,18,16,15,45,391,35,129.6755725,2718,20.96,163,281,37,3,0,0,0,0,391,40,28,59,21,0,104,18,16,203,12,1.787929259,8.48e-6,0,12,59,3974.089098,1.054149882
06A173236,2020,Slight,Female,26 - 35,0,0,Urban area,Most deprived 10%,1,2,1,One way street,20,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-07-25,13:20:00,Saturday,Manchester,E08000003,Urban,53.483782,-2.232178,E01033659,30.4703504,29,710,410,253.5,42.5,4,999.5,135.5,76.5,56.5,65.5,9.5,9,7,6.5,587,46.5,136.5543898,1236.5,9.055,251.5,402,47,7,0.5,1,0.5,0,587,24,31,35,8,1,136.5,7,15.5,149,4,0.689303361,3.8e-6,0,20,84,5561.582659,1.993134897
06A173670,2020,Severe/Fatal,Male,6 - 10,1,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-08-09,17:55:00,Sunday,Manchester,E08000003,Urban,53.469156,-2.242373,E01005212,25.91968447,22,761,433,299,26,3,871,144,94,72,55,27,7,25,29,335,83,112.4820144,3127,27.8,324,243,108,52,23,6,3,2,335,17,34,99,14,2,172,16,37,136,10,2.112358829,7.57e-6,0,19,211,8200.01292,1.446376403
06A174539,2020,Slight,Female,21 - 25,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Daylight,0,0,1,Non-trunk,1,1,1,1,Both,1,2020-09-04,08:17:00,Friday,Manchester,E08000003,Urban,53.478922,-2.253247,E01033681,32.06413545,30,850,367,428,51,4,1098,163,89,54,49,14,6,14,8,661,40,38.76420869,1330,34.31,415,395,35,5,0,0,0,0,661,21,18,22,6,1,156,10,19,177,8,2.21916639,6.49e-6,0,21,46,6095.436681,2.266261708
06A175230,2020,Slight,Female,26 - 35,0,0,Urban area,More deprived 30-40%,4,2,1,Single carriageway,30,1,Darkness - lights lit,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-09-16,20:30:00,Wednesday,Manchester,E08000003,Urban,53.47463,-2.237627,E01005128,26.06866792,25,695,542,138,12,3,634,108,28,40,40,8,5,1,23,355,26,148.4249084,2026,13.65,365,298,25,6,0,0,1,0,355,20,25,32,4,0,51,13,7,123,5,0.834327504,6.09e-6,0,21,84,3570.664978,0.943179815
